,Neighborhood,Latitude,Longitude
0,Ngau Tau Kok,22.31551165,114.219092318285
1,Tsim Sha Tsui East,22.2971803,114.1722049
2,Marina Cove,22.3576557,114.257545727652
3,Yau Ma Tei,22.3123646,114.170778874557
4,Clear Water Bay,22.28467135,114.296271472559
5,Leung Shuen Wan,22.361714,114.3504669
6,Mo Tat,22.2092894,114.1455376
7,Sheung Wan,22.2868701,114.150267
8,Tui Min Hoi,22.3773431,114.2709305
9,Ting Kok,22.4728279,114.2193946
10,Gold Coast,22.37185395,113.98944450903
11,King's Park,22.3105718,114.1742986
12,Tiu Keng Leng / Rennie's Mill,22.3040753,114.2523705
13,Wah Fu,22.25260545,114.136967724393
14,Sai Ying Pun,22.286121,114.1420862
15,Kwai Chung,22.3633364,114.1249755
16,Tin Wan,22.2503533,114.1492647
17,Kau Sai Chau,22.36154245,114.312527453147
18,Metro City Plaza,22.3242203,114.2569568
19,Caroline Hill,22.2765367,114.186479
20,Tai Hang,22.2772036,114.1937838
21,Shun Lee Estate,22.33267315,114.224016403986
22,Wu Kai Sha,22.4291708,114.243982680896
23,Siu Lam,22.3686127,114.0122483
24,Tsz Wan Shan,22.3486715,114.1999443
25,Mid-Levels,22.2824052,114.145809
27,Choi Wan Estate,22.3334571,114.2146667
28,Sheung Shui,22.5014146,114.1287033
29,Shun Chi Court,22.33219225,114.226762998545
30,Chai Wan,22.26478335,114.237238369322
31,Hang Hau,22.4146875,114.1955564
32,Wong Chuk Hang,22.3828264,114.3584881
33,Big Wave Bay,22.2442841,114.2495305
34,Tsing Yi,22.344419,114.098981928401
35,Ha Tsuen,22.4460649,113.9943636
36,City One Shatin,22.38661755,114.203511767598
37,Lok Ma Chau,22.51496955,114.065639806328
38,Ngau Chi Wan,22.3362135,114.2121285
39,Central District,22.2813223,114.1602579
40,Sai Wan Ho,22.2816256,114.2222894
41,Tai Po Kau,22.4360371,114.1909115
42,Cyberport,22.2606968,114.130286314354
43,Sha Tin Wai,22.37698205,114.195026996523
44,Aberdeen,22.2487691,114.155954
45,Kornhill,22.2825515,114.2166966
46,Kei Ling Ha Lo Wai,22.4106596,114.2741215
47,The Peak,22.2699166,114.1506667
48,Man Kam To,22.5390257,114.1294537
49,Yuen Long,22.4426463,114.0304342
50,Tai Tam,22.1639181,114.2622643
51,A Kung Ngam,22.2808608,114.2338449
52,Shap Sze Heung,22.4233286,114.2585052
53,Yau Yat Chuen,22.3310303,114.1744603
54,Quarry Bay,22.2877545,114.2149322
55,Whampoa Garden,22.3050958,114.1906104
56,Siu Sai Wan,22.2637273,114.2502079
57,Ngau Chi Wan Village,22.3360284,114.208023462943
58,Prince Edward,22.32458615,114.168281508252
59,Peng Chau,22.2860717,114.044371072817
60,Shap Pat Heung,22.4281307,114.0297891
61,Chek Lap Kok,22.30699405,113.918242474792
62,Lau Fau Shan,22.4673719,113.984152
63,Causeway Bay,22.280208,114.1848407
64,Lam Tin,22.30669805,114.232935225949
65,Lung Kwu Tan,22.38878,113.921412073407
66,Nai Chung,22.4306701,114.2576778
67,Chinese University of Hong Kong,22.4202695,114.207863438632
68,Ping Che,22.5254728,114.1625031
69,Ngong Ping,22.2557793,113.9043404
70,LOHAS Park,22.2956555,114.2687716
71,Tai Po Tsai,22.3372905,114.2591895
72,Jardine's Lookout,22.266356,114.1983331
73,Yam O,22.3244654,114.0220143
74,Tsing Lung Tau,22.362387,114.0453034
75,Hoi Ha Wan,22.47100685,114.335372737098
76,San Hui,22.4002367,113.9780398
77,Jordan Valley,22.3268321,114.2218498
78,Fanling,22.4946255,114.1382744
79,Ma Liu Shui,22.4135688,114.2101033
80,Science Park,23.1690699,113.4474125
81,Taikoo Shing,22.28759825,114.215207355675
82,Amoy Gardens,22.3246268,114.216458467053
83,Closed Area,22.3058692,114.2554885
84,Ocean Park,22.24869615,114.174499042174
85,Sai Wan,22.3990864,114.3728451
86,Tseng Lan Shue,22.3360401,114.2381974
87,Tung Lung Chau,22.24827475,114.28949987476
88,Braemar Hill,22.2864177,114.2064417
89,Happy Valley,22.267237,114.1869671
90,Tung Chung,22.2892575,113.94149102803
91,Pat Heung,22.4367237,114.0915473
92,Kwu Tung,22.5042709,114.1028452
93,Hang Hau Village,22.32101555,114.266813004187
94,Repulse Bay,22.2381085,114.1963176
95,Stanley,22.2143908,114.2159129
96,Yung Shue Ha,22.1996449,114.1406301
97,Kowloon Bay,22.3234851,114.214101952407
98,Tseung Kwan O Industrial Estate,22.284649,114.271717
99,Tai Po,22.4494017,114.1711328
100,Tung Tau Estate,22.3345509,114.191797244396
101,Olympian City,22.31643265,114.161605846872
102,Tai Wo Hau Estate,22.3673675,114.123957629418
103,Tai O,22.2541524,113.8636197
104,Lo Wai,22.4974378,114.151758
105,Shun On Estate,22.3284563,114.226110426891
106,Heng Fa Chuen,22.27785875,114.240264469279
107,Sham Shui Po,22.32819,114.1608545
108,Tai Tong,22.5458496,114.4302904
109,Ma Wan,22.34912675,114.058218807916
110,Cheung Chau,22.2096137,114.029637050045
111,Tai Wo Estate,22.4510539,114.162372728987
112,Chi Ma Wan,22.24152925,114.004975659258
113,Penny's Bay,22.3218026,114.033868
114,Lamma Island,22.20944115,114.149767382913
115,Siu Ho Wan,22.3108166,113.9944179
116,Ping Chau,22.54580705,114.428314555753
117,Plover Cove,22.46167445,114.231932670817
118,Kowloon City,22.3301595,114.1899368
119,Tin Hau,22.2822771,114.1919173
120,Pok Fu Lam,22.2613573,114.1368089
121,Jordan,22.3048099,114.171715722427
122,Yau Tong,22.2975047,114.2383245
123,Lai King,22.34836685,114.126076347497
124,Hung Hom,22.3028568,114.18203242951
125,Shui Bin Tsuen,22.3215242,114.2681195
126,Hung Shing Yeh,22.2200463,114.1194257
127,Pak Sha Chau,22.37473735,114.285473854352
128,Lam Tsuen,22.30669805,114.232935225949
129,Kowloon Peak,22.3406401,114.2233353
130,Northeast Lantau Island,22.27153845,113.944275157054
131,Ting Kau,22.3692331,114.0785595
132,Tung Tsz,22.4726255,114.200116692893
133,Long Ping Estate,22.4503126,114.023852285653
134,Kowloon Tsai,22.3332909,114.1829728
135,Mui Wo,22.2645446,114.0013059
136,Pui O,22.2426323,113.9776049
137,Ho Man Tin,22.3159018,114.1800713
138,San Po Kong,22.3385456,114.1973986
139,Yung Shue Wan,22.22557,114.1117117
140,Kennedy Town,22.28131165,114.129160398166
141,Kwun Chung,22.3043596,114.1707056
142,Pat Sin Leng,22.50055465,114.210392120458
143,Ap Lei Chau,22.2412104,114.1541361
144,Siu Lek Yuen,22.3818388,114.2165218
145,Lin Ma Hang,22.5511514,114.181112100593
147,Sha Tau Kok,22.5456334,114.2237125
149,Choi Hung Estate,22.335458,114.206231048981
150,So Kwun Wat,22.3754364,114.0037965
151,Ta Kwu Ling,22.5385085,114.1579921
152,Shek O,22.2307536,114.2510366
153,Mai Po,22.4997773,114.0521036
154,Chung Hom Kok,22.2182618,114.2047605
155,Ma Tau Kok,22.3215362,114.1932681
156,Mong Kok,22.3197491,114.1693644
157,Sai Kung Town,22.3822489,114.2728277
158,Tai Kok Tsui,22.3207508,114.1603513
159,Kwan Tei,22.5093686,114.1603388
160,Aldrich Bay,22.2824457,114.2215064
161,Sha Tin,22.3810557,114.1888792
162,Soho,22.5606879,114.0966721
163,Deep Water Bay,22.2445,114.1881
164,Mei Foo Sun Chuen,22.3375208,114.140120160997
165,Diamond Hill,22.34003055,114.201609096039
166,Tsim Sha Tsui,22.298872,114.1741181
167,Tin Shui Wai,22.4596112,114.0022375
168,Ping Shan,22.44288,114.012039
169,Fu Tei,22.4128684,113.9804292
170,Telegraph Bay,22.2640637,114.13003
171,North Point,22.2916575,114.1995447
172,Pik Uk,22.3436823,114.245818
173,San Tin,22.5023728,114.0695271
174,Kiu Tsui Chau,22.3673128,114.287249662975
175,Hin Keng Estate,22.36342275,114.172297938949
176,Lai Chi Kok,22.3365244,114.148069137574
177,North Point Mid-Levels,22.2824052,114.145809
178,Sham Tseng,22.3686196,114.0588039
179,Fo Tan,22.39518655,114.198122891233
180,Tuen Mun,22.3908265,113.9731687
181,Sok Kwu Wan,22.2047065,114.1312705
182,Kowloon Tong,22.336213,114.1799105
184,Po Toi O,22.27596195,114.294217193202
185,Pak Kok,22.3724267,113.9608426
186,Shek Kong,22.4265447,114.108885
187,Au Tau,22.3295341,114.2443158
188,Fu Shan Estate,22.3428135,114.20871831639
189,Hong Lok Yuen,22.4627952,114.156273629976
190,Yuen Chau Kok,22.3834847,114.1990391
191,Tai Lam Chung,22.3700988,114.0244388
192,Shek Kip Mei,22.3318092,114.1688018
193,Shek Tong Tsui,22.287735,114.1345987
194,Ma On Shan,22.4232322,114.2318017
195,Lantau Island,22.27153845,113.944275157054
196,Kwai Fong Estate,22.3593731,114.129455138876
197,Wang Tau Hom,22.3404231,114.1865742
198,Tai Po Industrial Estate,22.45676425,114.186513913324
199,Lo Wu,22.5289752,114.113266370006
200,Po Lam Estate,22.325535,114.254977698711
201,Sau Mau Ping,22.3195857,114.2320637
202,Tai Wai,22.3730706,114.178887389217
203,Lo So Shing,22.2052893,114.124949
204,Lok Fu Estate,22.3371531,114.186966688633
205,Cha Kwo Ling,22.3030622,114.2286659
206,Tsuen Wan,22.3716605,114.1134699
207,Ma Tau Wai,22.3241153,114.1863786
208,Junk Island,22.2772916,114.2690649
209,Nam Long Shan,22.2418327,114.1733845
210,Kau To Shan,22.409122,114.1917661
211,Discovery Bay,22.2973688,114.016528
212,Mang Kung Uk,22.3136545,114.2770741
213,Yuen Long Town,22.4426463,114.0304342
214,Heng On Estate,22.41682355,114.228910127536
215,Pak Shek Kok,22.4275061,114.2023539
216,To Kwa Wan,22.3167582,114.1895402
217,Wan Chai,22.2790146,114.1724833
218,Ta Ku Ling,22.3467666,114.2526668
219,Yim Tin Tsai,22.4511127,114.213842
220,Sham Wan,22.4383693,114.3927792
221,Shun Tin Estate,22.32585965,114.226523574266
222,Cheung Sha Wan,22.3355145,114.1561681
223,Ho Chung,22.3558379,114.2462995
224,Yeung Chau,22.46192255,114.221524868136
225,Kwun Tong,22.312937,114.22561
226,Admiralty,22.2789208,114.1644982
227,Fortress Hill,22.2875631,114.1933149
228,Nam Cheong Estate,22.32605105,114.15777074938
229,Stonecutters Island,22.3219132,114.1383171
230,Shau Kei Wan,22.2790972,114.2286665
231,Tung O,22.1950145,114.1390063
232,Kam Tin,22.4392714,114.0654905
233,Sandy Bay,22.2683119,114.1251763
234,Ping Shek Estate,22.33287405,114.209100962472
235,Tai Au Mun,22.2952708,114.292165
236,Kwai Hing Estate,22.36563225,114.132542981678
